ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
3084,0.126,0.748,0.126,0.0
3085,0.164,0.742,0.094,0.2911
3086,0.451,0.549,0.0,0.7125
3091,0.075,0.925,0.0,0.1779
3092,0.153,0.847,0.0,0.4404
3093,0.0,0.811,0.189,-0.4215
3094,0.0,0.864,0.136,-0.5096
3095,0.0,0.641,0.359,-0.4215
3115,0.22,0.687,0.093,0.4005
3116,0.174,0.826,0.0,0.6697
3117,0.231,0.769,0.0,0.4588
3119,0.247,0.639,0.114,0.4404
3122,0.119,0.752,0.128,-0.0516
3123,0.137,0.863,0.0,0.4019
3124,0.235,0.765,0.0,0.5574
3125,0.0,1.0,0.0,0.0
3126,0.195,0.805,0.0,0.4404
3127,0.393,0.607,0.0,0.8126
3128,0.137,0.708,0.155,-0.0956
3129,0.0,1.0,0.0,0.0
3130,0.186,0.641,0.173,0.0516
3131,0.0,0.828,0.172,-0.4019
3132,0.157,0.843,0.0,0.3818
3133,0.155,0.845,0.0,0.5267
3134,0.122,0.878,0.0,0.2023
3135,0.097,0.903,0.0,0.4019
3136,0.0,1.0,0.0,0.0
3139,0.49,0.51,0.0,0.5927
3140,0.524,0.476,0.0,0.8779
3141,0.146,0.712,0.142,0.0258
3142,0.387,0.613,0.0,0.802
3143,0.188,0.812,0.0,0.624
3147,0.0,0.825,0.175,-0.3713
3148,0.063,0.87,0.067,-0.0258
3149,0.34,0.66,0.0,0.7351
3150,0.0,0.904,0.096,-0.5106
3154,0.0,1.0,0.0,0.0
3159,0.0,0.906,0.094,-0.3612
3163,0.119,0.881,0.0,0.4019
3164,0.0,0.859,0.141,-0.4215
3165,0.263,0.737,0.0,0.3612
3168,0.159,0.841,0.0,0.1779
3169,0.0,1.0,0.0,0.0
3174,0.815,0.185,0.0,0.6588
3175,0.137,0.863,0.0,0.4019
3177,0.0,1.0,0.0,0.0
3178,0.0,1.0,0.0,0.0
3179,0.0,0.781,0.219,-0.7096
3180,0.144,0.856,0.0,0.4019
3181,0.13,0.87,0.0,0.2732
3182,0.0,0.681,0.319,-0.7579
3183,0.305,0.695,0.0,0.9062
3184,0.0,0.847,0.153,-0.4019
3192,0.291,0.709,0.0,0.872
3199,0.0,1.0,0.0,0.0
3201,0.317,0.683,0.0,0.4767
3202,0.0,0.891,0.109,-0.0572
3205,0.455,0.545,0.0,0.9161
3206,0.126,0.735,0.138,-0.1027
3208,0.124,0.876,0.0,0.4019
3212,0.16,0.84,0.0,0.2263
3231,0.129,0.871,0.0,0.4588
3235,0.269,0.731,0.0,0.7964
3240,0.201,0.799,0.0,0.1298
3241,0.415,0.585,0.0,0.7269
3242,0.264,0.736,0.0,0.6164
3246,0.116,0.884,0.0,0.3612
3247,0.0,0.787,0.213,-0.4019
3255,0.181,0.819,0.0,0.7755
3258,0.261,0.739,0.0,0.5574
3259,0.075,0.925,0.0,0.1154
3262,0.074,0.926,0.0,0.4019
3263,0.262,0.738,0.0,0.4939
3266,0.286,0.606,0.108,0.4767
3271,0.412,0.588,0.0,0.7717
3278,0.094,0.906,0.0,0.4019
3284,0.286,0.601,0.113,0.5334
3286,0.0,1.0,0.0,0.0
3287,0.072,0.928,0.0,0.1779
3288,0.0,1.0,0.0,0.0
3291,0.116,0.884,0.0,0.1779
3292,0.073,0.846,0.082,-0.0772
3293,0.0,1.0,0.0,0.0
3295,0.154,0.846,0.0,0.6453
3312,0.093,0.907,0.0,0.2144
3313,0.0,1.0,0.0,0.0
3317,0.0,0.848,0.152,-0.7089
3324,0.0,1.0,0.0,0.0
3325,0.252,0.748,0.0,0.4019
3326,0.0,0.8,0.2,-0.4576
3343,0.197,0.655,0.148,0.169
3344,0.0,0.851,0.149,-0.1027
3345,0.0,1.0,0.0,0.0
3349,0.0,1.0,0.0,0.0
3350,0.0,1.0,0.0,0.0
3351,0.189,0.734,0.077,0.4939
3360,0.159,0.628,0.213,-0.3182
