1,good commercial follow,5.838044479650087
2,licensing mode,4.215254237288136
3,account manager,4.0156062424969985
4,technical support,3.925641025641026
5,good follow,3.9078119215105516
6,good relationship,3.8191078328064627
7,taking account,3.7979591836734694
8,windows server,3.6818181818181817
9,microsoft teams,3.6797385620915035
10,commercial follow,3.6599622878692646
11,microsoft solutions,3.337633298933609
12,microsoft products,3.2941963934168044
13,sales,2.032258064516129
14,teams,2.0
15,excellent,2.0
16,software,2.0
17,azure,1.9705882352941178
18,offer,1.9545454545454546
19,services,1.9310344827586208
20,commercial,1.930232558139535
21,solution,1.9230769230769231
22,licensing,1.9152542372881356
23,account,1.8979591836734695
24,partner,1.8695652173913044
25,propose,1.8461538461538463
26,relations,1.8461538461538463
27,french,1.8333333333333333
28,innovative,1.8181818181818181
29,trade,1.8181818181818181
30,contract,1.8
31,programs,1.8
32,exchange,1.7857142857142858
33,training,1.7692307692307692
34,market,1.75
35,client,1.736842105263158
36,support,1.7333333333333334
37,cloud,1.7307692307692308
38,follow,1.7297297297297298
39,regularly,1.7272727272727273
40,office365,1.725
41,monitoring,1.7142857142857142
42,licenses,1.7058823529411764
43,windows,1.6818181818181819
44,microsoft,1.6797385620915033
45,contact,1.6785714285714286
46,resources,1.6666666666666667
47,business,1.6666666666666667
48,users,1.6666666666666667
49,solutions,1.6578947368421053
50,tools,1.65
51,effective,1.6428571428571428
52,france,1.6428571428571428
53,relationship,1.641025641025641
54,problems,1.6363636363636365
55,partnership,1.631578947368421
56,strategy,1.6296296296296295
57,sharepoint,1.625
58,products,1.6144578313253013
59,simplify,1.5789473684210527
60,management,1.5769230769230769
61,interlocutor,1.5714285714285714
62,evolution,1.5555555555555556
63,presence,1.5454545454545454
64,projects,1.5384615384615385
65,office,1.5333333333333334
66,issues,1.5
67,price,1.5
68,organization,1.5
69,costs,1.5
70,involvement,1.5
71,clients,1.5
72,stable,1.5
73,communication,1.4736842105263157
74,partners,1.4705882352941178
75,contacts,1.4666666666666666
76,offers,1.4666666666666666
77,customers,1.4545454545454546
78,responsive,1.4444444444444444
79,administration,1.4444444444444444
80,visibility,1.4375
81,technologies,1.4285714285714286
82,mobile,1.4285714285714286
83,simple,1.4285714285714286
84,approach,1.4285714285714286
85,applications,1.4285714285714286
86,responsiveness,1.4285714285714286
87,service,1.4285714285714286
88,improvements,1.4285714285714286
89,company,1.4242424242424243
90,customer,1.411764705882353
91,implementation,1.4
92,implement,1.4
93,important,1.4
94,selling,1.4
95,found,1.4
96,interlocutors,1.4
97,quality,1.3823529411764706
98,change,1.380952380952381
99,point,1.375
100,exchanges,1.375
101,problem,1.375
102,availability,1.3636363636363635
103,difficult,1.3571428571428572
104,years,1.3333333333333333
105,complex,1.3333333333333333
106,incomprehensible,1.3333333333333333
107,commitment,1.3333333333333333
108,level,1.3214285714285714
109,licences,1.3076923076923077
110,access,1.3076923076923077
111,answers,1.2857142857142858
112,billing,1.2857142857142858
113,improve,1.2727272727272727
114,integration,1.25
115,adapted,1.25
116,reduce,1.25
117,companies,1.25
118,accompaniment,1.2352941176470589
119,windows10,1.2307692307692308
120,knowledge,1.2307692307692308
121,features,1.2307692307692308
122,increase,1.2222222222222223
123,reactivity,1.2222222222222223
124,expensive,1.2222222222222223
125,clear,1.2222222222222223
126,complicated,1.2222222222222223
127,speed,1.2
128,changing,1.2
129,transparency,1.2
130,skills,1.2
131,present,1.2
132,assistance,1.2
133,listening,1.2
134,competition,1.2
135,opening,1.1818181818181819
136,explain,1.1666666666666667
137,subject,1.1666666666666667
138,expectations,1.1428571428571428
139,innovation,1.1428571428571428
140,leads,1.1428571428571428
141,review,1.1428571428571428
142,improvement,1.125
143,simplification,1.1176470588235294
144,accompany,1.1111111111111112
145,proximity,1.1111111111111112
146,opinion,1.1111111111111112
147,terms,1.1111111111111112
148,months,1.1
149,continue,1.1
150,development,1.1
151,closer,1.1
152,arrival,1.0909090909090908
153,reliability,1.0
154,satisfactory,1.0
155,requests,1.0
156,stability,1.0
157,understand,1.0
158,accompanied,1.0
159,answer,1.0
160,competitors,1.0
161,dynamic,1.0
162,difficulties,1.0
163,fairies,1.0
164,businesses,1.0
165,listen,1.0
166,perfect,1.0
167,flexibility,1.0
168,remuneration,1.0
169,satisfied,1.0
170,order,1.0
171,event,1.0
172,continuity,1.0
173,stakeholders,1.0
174,questions,1.0
175,helps,1.0
176,bring,1.0
